,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
51,น้ำยืน,Nam Yuen,ต.สีวิเชียร ต.น้ำยืน จ.อุบลราชธานี ,105.002684,14.49017,A2,POINT (105.002684 14.49017)
52,ปทุมราชวงศา,Pathum Ratchawongsa,หมู่ที่ 7 ต.คำโพน อ.ปทุมราชวงศา จ.อำนาจเจริญ ,104.98596,15.9419,A3,POINT (104.98596 15.9419)
53,โพธิ์ไทร,Pho Sai,ต.เหล่างาม อ.โพธิ์ไทร จ.อุบลราชธานี,105.37803600000001,15.784942000000001,A3,POINT (105.378036 15.784942)
54,มุกดาหาร,Mukdahan,212 หมู่ที่ 3 ถ.ชยางกูร ต.บางทรายใหญ่ อ.เมือง จ.มุกดาหาร,104.718181,16.613679,M,POINT (104.718181 16.613679)
55,ภูหินขัน,Phu Hin Khan,ภูหินขัน 320 หมู่ที่ 1 ต.คำอาฮวน   อ.เมือง จ.มุกดาหาร  ,104.629602,16.468387,A1,POINT (104.629602 16.468387)
56,ดงหลวง,Dong Luang,ต.ดงหลวง อ.ดงหลวง จ.มุกดาหาร ,104.537077,16.814992,A3,POINT (104.537077 16.814992)
57,ร้อยเอ็ด,Roi ET,59  หมู่ที่ 14 ถ.รัฐกิจไกลคลา ต.รอบเมือง อ.เมือง จ.ร้อยเอ็ด,103.62420999999999,15.97835,M,POINT (103.62421 15.97835)
58,ยโสธร,Yasothon,10 ถ.เทศบาล 1 ต.ในเมือง อ.เมือง จ.ยโสธร,104.142504,15.803563,A1,POINT (104.142504 15.803563)
59,ขอนแก่น,Khon Kaen,205 หมู่ที่ 8 ต.โคกสี อ.เมือง จ.ขอนแก่น,102.94622199999999,16.463686,M,POINT (102.946222 16.463686)
60,ชุมแพ,Chum Phae,115 หมู่ที่ 9 ต.ชุมแพ อ.ชุมแพ จ.ขอนแก่น,102.041455,16.549452,A1,POINT (102.041455 16.549452)
61,ภูสิงห์,Phu Sing,ต.ภูสิงห์ อ.สหัสขันธ์ จ.กาฬสินธุ์,103.51861099999999,16.722777999999998,A1,POINT (103.518611 16.722778)
62,พล,Phon,อ.พล  จ.ขอนแก่น,102.60023199999999,15.809009,A1,POINT (102.600232 15.809009)
63,แก้งคร้อ,Kaeng Khro,ภูผาแดง อ.โคกโพธิ์ชัย จ.ขอนแก่น ,102.29565799999999,16.098189,A2,POINT (102.295658 16.098189)
64,เขาวง,Khao Wong,อ.เขาวง จ.กาฬสินธุ์ ,104.0895,16.69105,A3,POINT (104.0895 16.69105)
65,ภูเวียง,Phu Wiang,ต.ดินดำ  อ.ภูเวียง  จ.ขอนแก่น,102.43256,16.75968,A3,POINT (102.43256 16.75968)
66,เลย,Loei,ภูผาสาด ต.สานตม อ.ภูเรือ จ.เลย,101.444519,17.470654999999997,M,POINT (101.444519 17.470655)
67,หนองบัวลำภู,Nong Bua Lam Phu,อ.เมือง จ.หนองบัวลำภู,102.429346,17.228005,A1,POINT (102.429346 17.228005)
68,หนองหิน,Nong Hin,ต.หนองหิน อ.หนองหิน จ.เลย,101.850967,17.136145000000003,A3,POINT (101.850967 17.136145)
69,เชียงกลม,Chiang Klom,ต.เชียงกลม อ.ปากชม จ.เลย,101.933286,17.83985,A3,POINT (101.933286 17.83985)
70,อุดรธานี,Udonthani,179 หมู่ที่ 13 ต.บ้านธาตุ อ.เพ็ญ จ.อุดรธานี,102.794088,17.664041,M,POINT (102.794088 17.664041)
71,น้ำโสม,Nam Som,ภูตะแคง อ.น้ำโสม  จ.อุดรธานี,102.18922099999999,17.79859,A2,POINT (102.189221 17.79859)
72,บึงกาฬ,Buengkan,328 หมู่ที่ 6 ถ.สามยอดเทวกุล อ.เมือง จ.บึงกาฬ,103.55319,18.354689999999998,M,POINT (103.55319 18.35469)
